time_sec,noise_db,fan_rpm,temperature_c
0.0,35.0,1750.0,44.0
1.0,35.529,1774.78,44.278
2.0,36.05,1799.22,44.553
3.0,36.555,1823.01,44.826
4.0,37.035,1845.82,45.094
5.0,37.484,1867.38,45.355
6.0,37.896,1887.44,45.608
7.0,38.265,1905.78,45.852
8.0,38.589,1922.21,46.085
9.0,38.864,1936.63,46.307
10.0,39.089,1948.94,46.515
11.0,39.264,1959.13,46.71
12.0,39.391,1967.2,46.89
13.0,39.472,1973.25,47.054
14.0,39.511,1977.38,47.203
15.0,39.513,1979.76,47.336
16.0,39.484,1980.58,47.452
17.0,39.429,1980.08,47.552
18.0,39.354,1978.5,47.636
19.0,39.268,1976.13,47.704
20.0,39.175,1973.22,47.756
21.0,39.083,1970.08,47.793
22.0,38.996,1966.96,47.816
23.0,38.921,1964.11,47.826
24.0,38.86,1961.78,47.823
25.0,38.817,1960.16,47.809
26.0,38.793,1959.41,47.784
27.0,38.789,1959.66,47.75
28.0,38.805,1960.99,47.708
29.0,38.838,1963.43,47.66
30.0,38.886,1966.97,47.605
31.0,38.944,1971.53,47.547
32.0,39.008,1977.01,47.486
33.0,39.072,1983.26,47.422
34.0,39.13,1990.08,47.358
35.0,39.175,1997.25,47.295
36.0,39.201,2004.52,47.233
37.0,39.202,2011.6,47.174
38.0,39.171,2018.22,47.117
39.0,39.104,2024.09,47.065
40.0,38.995,2028.92,47.017
41.0,38.842,2032.44,46.974
42.0,38.641,2034.4,46.937
43.0,38.392,2034.57,46.905
44.0,38.096,2032.77,46.878
45.0,37.752,2028.83,46.857
46.0,37.365,2022.66,46.842
47.0,36.938,2014.2,46.831
48.0,36.476,2003.44,46.824
49.0,35.987,1990.42,46.821
50.0,35.476,1975.25,46.821
51.0,34.952,1958.05,46.823
52.0,34.423,1939.03,46.826
53.0,33.898,1918.41,46.83
54.0,33.384,1896.45,46.833
55.0,32.889,1873.46,46.834
56.0,32.422,1849.73,46.831
57.0,31.989,1825.61,46.825
58.0,31.596,1801.42,46.813
59.0,31.247,1777.49,46.794
60.0,30.947,1754.15,46.768
61.0,30.697,1731.69,46.733
62.0,30.499,1710.38,46.688
63.0,30.352,1690.47,46.633
64.0,30.254,1672.14,46.566
65.0,30.203,1655.56,46.486
66.0,30.194,1640.83,46.394
67.0,30.223,1628.02,46.289
68.0,30.283,1617.12,46.169
69.0,30.369,1608.1,46.036
70.0,30.474,1600.88,45.889
71.0,30.591,1595.31,45.728
72.0,30.713,1591.22,45.554
73.0,30.835,1588.41,45.366
74.0,30.95,1586.64,45.166
75.0,31.054,1585.65,44.954
76.0,31.143,1585.19,44.73
77.0,31.214,1584.97,44.497
78.0,31.265,1584.74,44.255
79.0,31.296,1584.22,44.005
80.0,31.307,1583.2,43.748
81.0,31.3,1581.46,43.487
82.0,31.279,1578.82,43.222
83.0,31.248,1575.15,42.955
84.0,31.211,1570.35,42.688
85.0,31.174,1564.37,42.422
86.0,31.144,1557.23,42.16
87.0,31.126,1548.95,41.901
88.0,31.127,1539.65,41.649
89.0,31.153,1529.46,41.405
90.0,31.21,1518.56,41.17
91.0,31.303,1507.17,40.945
92.0,31.437,1495.55,40.733
93.0,31.614,1483.97,40.534
94.0,31.836,1472.71,40.349
95.0,32.106,1462.07,40.18
96.0,32.421,1452.36,40.026
97.0,32.781,1443.87,39.89
98.0,33.183,1436.86,39.771
99.0,33.621,1431.6,39.67
100.0,34.091,1428.3,39.588
101.0,34.586,1427.15,39.523
102.0,35.099,1428.28,39.477
103.0,35.622,1431.79,39.448
104.0,36.147,1437.73,39.437
105.0,36.665,1446.08,39.442
106.0,37.169,1456.79,39.464
107.0,37.649,1469.76,39.502
108.0,38.1,1484.81,39.553
109.0,38.514,1501.76,39.618
110.0,38.885,1520.36,39.696
111.0,39.209,1540.35,39.784
112.0,39.483,1561.42,39.883
113.0,39.705,1583.27,39.989
114.0,39.873,1605.55,40.103
115.0,39.99,1627.95,40.222
116.0,40.056,1650.14,40.346
117.0,40.075,1671.83,40.473
118.0,40.051,1692.71,40.601
119.0,39.989,1712.54,40.73
120.0,39.897,1731.11,40.858
121.0,39.778,1748.22,40.984
122.0,39.642,1763.75,41.108
123.0,39.494,1777.61,41.227
124.0,39.341,1789.77,41.342
125.0,39.19,1800.25,41.451
126.0,39.046,1809.09,41.555
127.0,38.913,1816.42,41.652
128.0,38.797,1822.37,41.743
129.0,38.699,1827.15,41.827
130.0,38.621,1830.96,41.905
131.0,38.564,1834.04,41.976
132.0,38.526,1836.66,42.041
133.0,38.507,1839.07,42.1
134.0,38.502,1841.55,42.154
135.0,38.508,1844.35,42.204
136.0,38.519,1847.71,42.249
137.0,38.53,1851.85,42.292
138.0,38.536,1856.96,42.333
139.0,38.529,1863.19,42.373
140.0,38.503,1870.65,42.412
141.0,38.453,1879.4,42.454
142.0,38.372,1889.47,42.497
143.0,38.256,1900.81,42.543
144.0,38.101,1913.36,42.594
145.0,37.903,1926.99,42.651
146.0,37.662,1941.52,42.714
147.0,37.375,1956.75,42.784
148.0,37.044,1972.43,42.863
149.0,36.671,1988.29,42.951
150.0,36.26,2004.04,43.049
151.0,35.814,2019.37,43.157
152.0,35.339,2033.97,43.276
153.0,34.842,2047.53,43.405
154.0,34.331,2059.77,43.546
155.0,33.812,2070.39,43.699
156.0,33.295,2079.16,43.862
157.0,32.788,2085.85,44.036
158.0,32.299,2090.3,44.221
159.0,31.836,2092.37,44.415
160.0,31.405,2091.98,44.619
161.0,31.014,2089.09,44.83
162.0,30.668,2083.73,45.049
163.0,30.372,2075.97,45.274
164.0,30.127,2065.93,45.504
165.0,29.936,2053.78,45.738
166.0,29.8,2039.72,45.974
167.0,29.716,2024.0,46.21
168.0,29.684,2006.9,46.446
169.0,29.699,1988.71,46.68
170.0,29.757,1969.74,46.909
171.0,29.852,1950.33,47.133
172.0,29.979,1930.78,47.35
173.0,30.13,1911.4,47.559
174.0,30.299,1892.5,47.757
175.0,30.478,1874.32,47.945
176.0,30.662,1857.11,48.119
177.0,30.843,1841.05,48.279
178.0,31.016,1826.32,48.424
179.0,31.177,1813.0,48.553
180.0,31.321,1801.17,48.665
181.0,31.445,1790.83,48.759
182.0,31.549,1781.94,48.835
183.0,31.632,1774.42,48.892
184.0,31.694,1768.14,48.93
185.0,31.738,1762.93,48.949
186.0,31.767,1758.58,48.948
187.0,31.785,1754.88,48.929
188.0,31.797,1751.57,48.891
189.0,31.809,1748.4,48.836
190.0,31.827,1745.09,48.763
191.0,31.856,1741.38,48.674
192.0,31.904,1737.03,48.569
193.0,31.976,1731.81,48.45
194.0,32.077,1725.52,48.317
195.0,32.213,1717.99,48.173
196.0,32.387,1709.08,48.018
197.0,32.601,1698.73,47.854
198.0,32.859,1686.88,47.682
199.0,33.159,1673.56,47.503
200.0,33.501,1658.81,47.32
201.0,33.884,1642.75,47.134
202.0,34.302,1625.52,46.945
203.0,34.752,1607.34,46.757
204.0,35.227,1588.43,46.569
205.0,35.722,1569.05,46.383
206.0,36.228,1549.5,46.201
207.0,36.738,1530.09,46.023
208.0,37.243,1511.13,45.85
209.0,37.736,1492.95,45.684
210.0,38.207,1475.85,45.525
211.0,38.65,1460.15,45.374
212.0,39.057,1446.1,45.23
213.0,39.422,1433.97,45.095
214.0,39.739,1423.95,44.969
215.0,40.006,1416.21,44.852
216.0,40.219,1410.87,44.743
217.0,40.376,1408.01,44.642
218.0,40.479,1407.64,44.55
219.0,40.527,1409.73,44.464
220.0,40.524,1414.2,44.386
221.0,40.473,1420.91,44.313
222.0,40.38,1429.7,44.246
223.0,40.25,1440.34,44.183
224.0,40.089,1452.58,44.124
225.0,39.904,1466.16,44.067
226.0,39.703,1480.77,44.011
227.0,39.491,1496.1,43.955
228.0,39.277,1511.85,43.899
229.0,39.066,1527.71,43.84
230.0,38.864,1543.39,43.779
231.0,38.676,1558.61,43.713
232.0,38.506,1573.14,43.643
233.0,38.356,1586.75,43.567
234.0,38.228,1599.29,43.484
235.0,38.121,1610.63,43.395
236.0,38.036,1620.68,43.297
237.0,37.969,1629.42,43.192
238.0,37.918,1636.87,43.077
239.0,37.878,1643.09,42.955
